Coalition,t (event index),Pruning,Shapley Value
Sum of contribution of events > t,-185,0,0.0010926090702414514
Sum of contribution of events ≤ t,-185,0,0.125266907017678
Sum of contribution of events > t,-186,0,0.0010993750784546138
Sum of contribution of events ≤ t,-186,0,0.12527351154200733
Sum of contribution of events > t,-187,0,0.0011061066538095474
Sum of contribution of events ≤ t,-187,0,0.12528007498010993
Sum of contribution of events > t,-188,0,0.0011128054540604352
Sum of contribution of events ≤ t,-188,0,0.12528659578226506
Sum of contribution of events > t,-189,0,0.001119478577747941
Sum of contribution of events ≤ t,-189,0,0.12529307776503265
Sum of contribution of events > t,-190,0,0.0011261327285319567
Sum of contribution of events ≤ t,-190,0,0.12529952095635236
Sum of contribution of events > t,-191,0,0.0011327750869095324
Sum of contribution of events ≤ t,-191,0,0.12530592447146774
Sum of contribution of events > t,-192,0,0.0011394375637173652
Sum of contribution of events ≤ t,-192,0,0.12531227805837988
Sum of contribution of events > t,-193,0,0.0011461156904697418
Sum of contribution of events ≤ t,-193,0,0.1253185838498175
Sum of contribution of events > t,-194,0,0.0011528194285929203
Sum of contribution of events ≤ t,-194,0,0.12532483085617424
Sum of contribution of events > t,-195,0,0.0011595602259039878
Sum of contribution of events ≤ t,-195,0,0.1253310008943081
Sum of contribution of events > t,-196,0,0.0011663784813135862
Sum of contribution of events ≤ t,-196,0,0.12533709722571074
Sum of contribution of events > t,-197,0,0.0011733530815690755
Sum of contribution of events ≤ t,-197,0,0.12534311302937567
Sum of contribution of events > t,-198,0,0.001180468199774623
Sum of contribution of events ≤ t,-198,0,0.12534906321950257
Sum of contribution of events > t,-199,0,0.0011877948902547359
Sum of contribution of events ≤ t,-199,0,0.12535498883202673
Sum of contribution of events > t,-200,0,0.0011954281684011222
Sum of contribution of events ≤ t,-200,0,0.12536095627956093
Sum of contribution of events > t,-201,1,0.001154574755579233
Sum of contribution of events ≤ t,-201,1,0.12531235378608108
Sum of contribution of events > t,-202,1,0.001119884453713894
Sum of contribution of events ≤ t,-202,1,0.12526414763182403
Sum of contribution of events > t,-203,1,0.001090329634025693
